Value,New_LC_2019_classification,Old_classification,Description
11,NotAvailable,Open Water,"areas of open water, generally with less than 25% cover of vegetation or soil. "
12,NotAvailable,Perennial Ice/Snow,"areas characterized by a perennial cover of ice and/or snow, generally greater than 25% of total cover. "
21,Open,"Developed, Open Space","areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20% of total cover. These areas most commonly include large-lot single-family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes. "
22,Open,"Developed, Low Intensity",areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20% to 49% percent of total cover. These areas most commonly include single-family housing units. 
23,Open,"Developed, Medium Intensity ",areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 50% to 79% of the total cover. These areas most commonly include single-family housing units. 
24,Open,"Developed, High Intensity","highly developed areas where people reside or work in high numbers. Examples include apartment complexes, row houses and "
31,Open,Barren Land (Rock/Sand/Clay) - ,"areas of bedrock, desert pavement, scarps, talus, slides, volcanic material, glacial debris, sand dunes, strip mines, gravel pits and other accumulations of earthen material. Generally, vegetation accounts for less than 15% of total cover. "
41,Closed,Deciduous Forest,"areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species shed foliage simultaneously in response to seasonal change. "
42,Closed,Evergreen Forest,"areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage. "
43,Closed,Mixed Forest,"areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75% of total tree cover. "
51,NA,Dwarf Scrub,"Alaska only areas dominated by shrubs less than 20 centimeters tall with shrub canopy typically greater than 20% of total vegetation. This type is often co-associated with grasses, sedges, herbs, and non-vascular vegetation. "
52,Closed,Shrub/Scrub- ,"areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation. This class includes true shrubs, young trees in an early successional stage or trees stunted from environmental conditions."
71,Open,Grassland/Herbaceous,"areas dominated by gramanoid or herbaceous vegetation, generally greater than 80% of total vegetation. These areas are not subject to intensive management such as tilling, but can be utilized for grazing. "
72,NA,Sedge/Herbaceous- ,"Alaska only areas dominated by sedges and forbs, generally greater than 80% of total vegetation. This type can occur with significant other grasses or other grass like plants, and includes sedge tundra, and sedge tussock tundra. "
73,NA,Lichens,Alaska only areas dominated by fruticose or foliose lichens generally greater than 80% of total vegetation. 
74,NA,Moss,"Alaska only areas dominated by mosses, generally greater than 80% of total vegetation. "
81,Open,Pasture/Hay,"areas of grasses, legumes, or grass-legume mixtures planted for livestock grazing or the production of seed or hay crops, typically on a perennial cycle. Pasture/hay vegetation accounts for greater than 20% of total vegetation. "
82,Open,Cultivated Crops ,"areas used for the production of annual crops, such as corn, soybeans, vegetables, tobacco, and cotton, and also perennial woody crops such as orchards and vineyards. Crop vegetation accounts for greater than 20% of total vegetation. This class also includes all land being actively tilled. "
90,Closed,Woody Wetlands,areas where forest or shrubland vegetation accounts for greater than 20% of vegetative cover and the soil or substrate is periodically saturated with or covered with water. 
95,Open,Emergent Herbaceous Wetlands,Areas where perennial herbaceous vegetation accounts for greater than 80% of vegetative cover and the soil or substrate is periodically saturated with or covered with water. 